type,region,group,No,Yes
Overall,Inland Empire,Overall,0.91,0.09
Overall,Los Angeles County,Overall,0.78,0.22
Overall,Rest of SoCal,Overall,0.77,0.23
Overall,State of CA,Overall,0.78,0.22
Race,Inland Empire,White,0.88,0.12
Race,Inland Empire,Hispanic,0.93,0.07
Race,Los Angeles County,White,0.73,0.27
Race,Los Angeles County,Asian,0.76,0.24
Race,Los Angeles County,Black,0.8,0.2
Race,Los Angeles County,Hispanic,0.85,0.15
Race,Rest of SoCal,White,0.7,0.3
Race,Rest of SoCal,Black,0.8,0.2
Race,Rest of SoCal,Asian,0.84,0.16
Race,Rest of SoCal,Hispanic,0.86,0.14
Race,State of CA,White,0.72,0.28
Race,State of CA,Black,0.8,0.2
Race,State of CA,Asian,0.83,0.17
Race,State of CA,Hispanic,0.87,0.13
Gender,Inland Empire,Male,0.87,0.13
Gender,Inland Empire,Female,0.94,0.06
Gender,Los Angeles County,Male,0.76,0.24
Gender,Los Angeles County,Female,0.79,0.21
Gender,Rest of SoCal,Female,0.76,0.24
Gender,Rest of SoCal,Male,0.77,0.23
Gender,State of CA,Female,0.78,0.22
Gender,State of CA,Male,0.78,0.22
Age Group,Inland Empire,50-64,0.83,0.17
Age Group,Inland Empire,65+,0.92,0.08
Age Group,Inland Empire,18-34,0.94,0.06
Age Group,Inland Empire,35-49,0.94,0.06
Age Group,Los Angeles County,65+,0.62,0.38
Age Group,Los Angeles County,50-64,0.74,0.26
Age Group,Los Angeles County,35-49,0.82,0.18
Age Group,Los Angeles County,18-34,0.85,0.15
Age Group,Rest of SoCal,65+,0.69,0.31
Age Group,Rest of SoCal,50-64,0.71,0.29
Age Group,Rest of SoCal,35-49,0.81,0.19
Age Group,Rest of SoCal,18-34,0.83,0.17
Age Group,State of CA,50-64,0.73,0.27
Age Group,State of CA,65+,0.74,0.26
Age Group,State of CA,18-34,0.8,0.2
Age Group,State of CA,35-49,0.83,0.17
Education,Inland Empire,4-Year College or Higher,0.81,0.19
Education,Inland Empire,HS or Less,0.95,0.05
Education,Inland Empire,Some College or AA,0.95,0.05
Education,Los Angeles County,4-Year College or Higher,0.69,0.31
Education,Los Angeles County,Some College or AA,0.79,0.21
Education,Los Angeles County,HS or Less,0.97,0.03
Education,Rest of SoCal,4-Year College or Higher,0.69,0.31
Education,Rest of SoCal,Some College or AA,0.78,0.22
Education,Rest of SoCal,HS or Less,0.96,0.04
Education,State of CA,4-Year College or Higher,0.69,0.31
Education,State of CA,Some College or AA,0.83,0.17
Education,State of CA,HS or Less,0.95,0.05
