type,region,group,No,Yes
Overall,Inland Empire,Overall,0.78,0.22
Overall,Los Angeles County,Overall,0.81,0.19
Overall,Rest of SoCal,Overall,0.78,0.22
Overall,State of CA,Overall,0.75,0.25
Race,Inland Empire,White,0.77,0.23
Race,Inland Empire,Hispanic,0.82,0.18
Race,Los Angeles County,Black,0.7,0.3
Race,Los Angeles County,White,0.81,0.19
Race,Los Angeles County,Asian,0.82,0.18
Race,Los Angeles County,Hispanic,0.83,0.17
Race,Rest of SoCal,Black,0.7,0.3
Race,Rest of SoCal,White,0.76,0.24
Race,Rest of SoCal,Hispanic,0.83,0.17
Race,Rest of SoCal,Asian,0.84,0.16
Race,State of CA,Black,0.7,0.3
Race,State of CA,White,0.72,0.28
Race,State of CA,Hispanic,0.81,0.19
Race,State of CA,Asian,0.87,0.13
Gender,Inland Empire,Male,0.75,0.25
Gender,Inland Empire,Female,0.81,0.19
Gender,Los Angeles County,Male,0.76,0.24
Gender,Los Angeles County,Female,0.85,0.15
Gender,Rest of SoCal,Male,0.75,0.25
Gender,Rest of SoCal,Female,0.81,0.19
Gender,State of CA,Male,0.71,0.29
Gender,State of CA,Female,0.77,0.23
Age Group,Inland Empire,35-49,0.72,0.28
Age Group,Inland Empire,65+,0.8,0.2
Age Group,Inland Empire,50-64,0.81,0.19
Age Group,Inland Empire,18-34,0.87,0.13
Age Group,Los Angeles County,18-34,0.78,0.22
Age Group,Los Angeles County,35-49,0.78,0.22
Age Group,Los Angeles County,50-64,0.86,0.14
Age Group,Los Angeles County,65+,0.87,0.13
Age Group,Rest of SoCal,35-49,0.75,0.25
Age Group,Rest of SoCal,50-64,0.79,0.21
Age Group,Rest of SoCal,18-34,0.81,0.19
Age Group,Rest of SoCal,65+,0.83,0.17
Age Group,State of CA,35-49,0.69,0.31
Age Group,State of CA,50-64,0.77,0.23
Age Group,State of CA,65+,0.77,0.23
Age Group,State of CA,18-34,0.8,0.2
Education,Inland Empire,4-Year College or Higher,0.75,0.25
Education,Inland Empire,Some College or AA,0.77,0.23
Education,Inland Empire,HS or Less,0.83,0.17
Education,Los Angeles County,4-Year College or Higher,0.76,0.24
Education,Los Angeles County,HS or Less,0.85,0.15
Education,Los Angeles County,Some College or AA,0.89,0.11
Education,Rest of SoCal,4-Year College or Higher,0.75,0.25
Education,Rest of SoCal,HS or Less,0.82,0.18
Education,Rest of SoCal,Some College or AA,0.83,0.17
Education,State of CA,4-Year College or Higher,0.72,0.28
Education,State of CA,Some College or AA,0.76,0.24
Education,State of CA,HS or Less,0.81,0.19
